city_id;city_abbr;city_name;community_id;community_name;location;unit_price;price_date;longitude;latitude;hier1;hier2;hier3;hier4;hier5;age;structure;management_fee;management_co;developer;building_amount;house_amount;url
340100;hf;合肥;5111062953521;凯旋门;(政务荷叶地)潜山路123号;26648;11月参考均价;117.23700563325;31.809498090666;链家网合肥站;合肥小区;政务小区;荷叶地小区;凯旋门;2012年建成;塔楼/板楼;1.44元/平米/月;华润置地（合肥）物业管理有限公司;华润置地（合肥）有限公司;17栋;5569户;https://hf.lianjia.com/xiaoqu/5111062953521/
340100;hf;合肥;5115210691441411;万科蓝山一期;(滨湖新区方兴)蓝山花园, 紫云路万科蓝山一期小区;22163;11月参考均价;117.311667;31.744457;链家网合肥站;合肥小区;滨湖新区小区;方兴小区;万科蓝山一期;2014年建成;塔板结合;2.7元/平米/月;上海万科物业服务有限公司合肥分公司;合肥万科新城地产有限公司;15栋;2440户;https://hf.lianjia.com/xiaoqu/5115210691441411/
340100;hf;合肥;5115145919590202;中海滨湖公馆;(滨湖新区环湖CBD)金斗路中海滨湖公馆;22234;11月参考均价;117.304104;31.721485;链家网合肥站;合肥小区;滨湖新区小区;环湖CBD小区;中海滨湖公馆;2014年建成;塔楼/板楼/塔板结合;2.2至4元/平米/月;中海宏洋物业管理有限公司合肥分公司;中海宏洋置业（合肥）有限公司;50栋;3869户;https://hf.lianjia.com/xiaoqu/5115145919590202/
340100;hf;合肥;5111063078322;滨湖万科城;(滨湖新区烟墩)云谷路2852号;20699;11月参考均价;117.28089710156;31.720481172767;链家网合肥站;合肥小区;滨湖新区小区;烟墩小区;滨湖万科城;2013年建成;板楼;2.7元/平米/月;合肥万科物业服务有限公司;合肥万科皓智地产有限公司;22栋;4196户;https://hf.lianjia.com/xiaoqu/5111063078322/
340100;hf;合肥;5115418538341328;保利梧桐语;(高新蜀麓)保利梧桐语;16701;11月参考均价;117.174344;31.820442;链家网合肥站;合肥小区;高新小区;蜀麓小区;保利梧桐语;2016年建成;塔板结合;1.44元/平米/月;安徽保利物业管理有限公司;合肥保利和筑房地产有限公司;12栋;1609户;https://hf.lianjia.com/xiaoqu/5115418538341328/
340100;hf;合肥;5111062846370;保利香槟国际;(政务兴园)习友路1988号;24513;11月参考均价;117.20852175339;31.818390351045;链家网合肥站;合肥小区;政务小区;兴园小区;保利香槟国际;2014年建成;板楼/塔板结合;1.85元/平米/月;保利物业;合肥保利房地产开发有限公司;27栋;5091户;https://hf.lianjia.com/xiaoqu/5111062846370/
340100;hf;合肥;5111062854820;融科九重锦;(政务笔架山)融科·九重锦, 习友路999号九重锦园;24033;11月参考均价;117.2175180243;31.807805036999;链家网合肥站;合肥小区;政务小区;笔架山小区;融科九重锦;2010年建成;塔楼;1.44元/平米/月;第一太平融科物业管理公司;合肥融科智地房地产开发有限公司;14栋;2324户;https://hf.lianjia.com/xiaoqu/5111062854820/
340100;hf;合肥;5111062882264;淮矿馥邦天下;(高新兴园)淮矿馥邦天下;17819;11月参考均价;117.20496084583;31.820368283477;链家网合肥站;合肥小区;高新小区;兴园小区;淮矿馥邦天下;2015年建成;塔楼/板楼/塔板结合;1.4元/平米/月;浙江盛全物业公司;淮南矿业集团;26栋;3125户;https://hf.lianjia.com/xiaoqu/5111062882264/
340100;hf;合肥;5111062454890;金色名郡;(蜀山南七)望江西路203号;20709;11月参考均价;117.24800696903;31.835554429027;链家网合肥站;合肥小区;蜀山小区;南七小区;金色名郡;2015年建成;板楼;1.44至1.82元/平米/月;合肥万科物业服务有限公司;合肥一航万科地产有限公司;18栋;4220户;https://hf.lianjia.com/xiaoqu/5111062454890/
340100;hf;合肥;5114807823823091;圣大国际;(瑶海胜利路)圣大国际;14124;11月参考均价;117.309252;31.869367;链家网合肥站;合肥小区;瑶海小区;胜利路小区;圣大国际;暂无信息;塔楼;1.4元/平米/月;尚德物业管理公司;暂无信息;4栋;1040户;https://hf.lianjia.com/xiaoqu/5114807823823091/
340100;hf;合肥;5111062975349;中街水晶城;(肥西肥西)中街·水晶城;14948;11月参考均价;117.17746716815;31.723728729472;链家网合肥站;合肥小区;肥西小区;肥西小区;中街水晶城;2013年建成;塔楼/板楼;暂无信息;合肥市楚天物业管理有限公司;暂无信息;30栋;3321户;https://hf.lianjia.com/xiaoqu/5111062975349/
340100;hf;合肥;5115756301994620;融侨观邸;(庐阳双岗)融侨观邸;22769;11月参考均价;117.29884;31.880897;链家网合肥站;合肥小区;庐阳小区;双岗小区;融侨观邸;2013年建成;塔楼;1.25元/平米/月;安徽融侨物业管理有限公司;融侨集团合肥置业有限公司;7栋;871户;https://hf.lianjia.com/xiaoqu/5115756301994620/
340100;hf;合肥;5111063325553;曙光新村;(包河芜湖路)曙光新村;13969;11月参考均价;117.28693096492;31.850254028597;链家网合肥站;合肥小区;包河小区;芜湖路小区;曙光新村;1989年建成;板楼;0.37元/平米/月;安徽省信联物业管理公司;合肥市政建设集团有限责任公司;35栋;890户;https://hf.lianjia.com/xiaoqu/5111063325553/
340100;hf;合肥;5111062947195;紫兰园;(庐阳四里河)紫兰园;12860;11月参考均价;117.24731208989;31.895409108063;链家网合肥站;合肥小区;庐阳小区;四里河小区;紫兰园;2005年建成;塔楼/板楼;1.21元/平米/月;暂无信息;暂无信息;17栋;1193户;https://hf.lianjia.com/xiaoqu/5111062947195/
340100;hf;合肥;5111062577535;蓝鼎海棠湾;(高新天乐)黄山路与科学大道交口西北角;18035;11月参考均价;117.20958952562;31.847808186167;链家网合肥站;合肥小区;高新小区;天乐小区;蓝鼎海棠湾;2013年建成;塔板结合;1.4元/平米/月;安徽诚和物业服务有限公司;安徽蓝鼎置地集团有限公司;8栋;1456户;https://hf.lianjia.com/xiaoqu/5111062577535/
340100;hf;合肥;5111062538787;嘉和苑小区;(政务荷叶地)嘉和苑小区;16997;11月参考均价;117.24490468464;31.808950621324;链家网合肥站;合肥小区;政务小区;荷叶地小区;嘉和苑小区;2008年建成;塔楼/板楼;0.6元/平米/月;合肥永成物业管理服务有限公司;合肥市政建设集团有限责任公司;53栋;2008户;https://hf.lianjia.com/xiaoqu/5111062538787/
340100;hf;合肥;5111062395384;银河湾花园;(庐阳亳州)银河湾花园;15347;11月参考均价;117.2622580639;31.8860995803;链家网合肥站;合肥小区;庐阳小区;亳州小区;银河湾花园;2005年建成;板楼;1.2元/平米/月;暂无信息;暂无信息;15栋;586户;https://hf.lianjia.com/xiaoqu/5111062395384/
340100;hf;合肥;5113870081542242;高速时代城一期;(滨湖新区方兴)合肥市肥西县包河大道与紫云路交叉口西北;20196;11月参考均价;117.324801;31.748902;链家网合肥站;合肥小区;滨湖新区小区;方兴小区;高速时代城一期;2016年建成;塔板结合;1.44元/平米/月;安徽省高速地产物业管理服务有限公司;安徽高速公路房地产有限责任公司;8栋;1202户;https://hf.lianjia.com/xiaoqu/5113870081542242/
340100;hf;合肥;5111062364241;翠竹园A区;(蜀山琥珀)翠竹园小区;15321;11月参考均价;117.264946;31.874811;链家网合肥站;合肥小区;蜀山小区;琥珀小区;翠竹园A区;2005年建成;板楼;0.6元/平米/月;合肥昌顺物业管理有限公司;暂无信息;16栋;640户;https://hf.lianjia.com/xiaoqu/5111062364241/
340100;hf;合肥;5111063528564;静安新城南区;(瑶海大兴镇)新安江路;10566;11月参考均价;117.37930844616;31.865137357469;链家网合肥站;合肥小区;瑶海小区;大兴镇小区;静安新城南区;暂无信息;塔楼/板楼;0.8元/平米/月;暂无信息;暂无信息;20栋;951户;https://hf.lianjia.com/xiaoqu/5111063528564/
340100;hf;合肥;5111062990638;信达文景雅居;(包河周谷堆)信达 文景雅居;16160;11月参考均价;117.31106826924;31.84495099959;链家网合肥站;合肥小区;包河小区;周谷堆小区;信达文景雅居;2004年建成;板楼;1.44元/平米/月;安徽信达物业管理有限公司;安徽新禧房地产开发有限公司;14栋;560户;https://hf.lianjia.com/xiaoqu/5111062990638/
340100;hf;合肥;5111063554288;玉兰苑;(瑶海龙岗)长江批发市场对面;10513;11月参考均价;117.36661419354;31.88033021508;链家网合肥站;合肥小区;瑶海小区;龙岗小区;玉兰苑;2000年建成;塔楼/板楼/塔板结合;暂无信息;暂无信息;暂无信息;25栋;906户;https://hf.lianjia.com/xiaoqu/5111063554288/
340100;hf;合肥;5117971149287438;文一名门南郡;(经开锦绣)金寨路与紫云路交口;15731;11月参考均价;117.207478;31.756382;链家网合肥站;合肥小区;经开小区;锦绣小区;文一名门南郡;暂无信息;塔楼/塔板结合;1.44元/平米/月;安徽省文一物业管理有限公司;安徽文一地产集团;11栋;1914户;https://hf.lianjia.com/xiaoqu/5117971149287438/
340100;hf;合肥;5120025683423762;东升花园;(瑶海方庙)站前东路东升花园;9416;11月参考均价;117.351943;31.885556;链家网合肥站;合肥小区;瑶海小区;方庙小区;东升花园;暂无信息;塔楼/板楼;暂无信息;暂无信息;暂无信息;14栋;1441户;https://hf.lianjia.com/xiaoqu/5120025683423762/
