city_id;city_abbr;city_name;community_id;community_name;location;unit_price;price_date;longitude;latitude;hier1;hier2;hier3;hier4;hier5;age;structure;management_fee;management_co;developer;building_amount;house_amount;url
210100;sy;沈阳;3113061725368898;沿海赛洛城;(浑南浑南新区)天坛南街8号;9656;2月参考均价;123.466728;41.736552;链家网沈阳站;沈阳小区;浑南小区;浑南新区小区;沿海赛洛城;2012年建成;塔楼/板楼/塔板结合;1.5元/平米/月;美佳物业管理(深圳)有限公司沈阳分公司;沈阳荣天房地产开发有限公司;13栋;3451户;https://sy.lianjia.com/xiaoqu/3113061725368898/
210100;sy;沈阳;3113491118025777;世茂新五里河;(和平和平区)文体西路25号青年大街西侧;13219;2月参考均价;123.438698;41.764716;链家网沈阳站;沈阳小区;和平小区;和平区小区;世茂新五里河;2014年建成;板楼;2.3元/平米/月;世茂天成物业服务集团有限公司沈阳分公司;沈阳世茂新发展置业有限公司;12栋;3434户;https://sy.lianjia.com/xiaoqu/3113491118025777/
210100;sy;沈阳;3111053388449;SR国际新城;(浑南浑南新区)浑河堡街;8779;2月参考均价;123.45908744974;41.738131477795;链家网沈阳站;沈阳小区;浑南小区;浑南新区小区;SR国际新城;2008年建成;塔楼/板楼/塔板结合;1元/平米/月;爱斯阿尔(沈阳)房产开发有限公司;爱斯阿尔(沈阳)房产开发有限公司;37栋;5727户;https://sy.lianjia.com/xiaoqu/3111053388449/
210100;sy;沈阳;3111058063831;新湖明珠城;(铁西铁西区)小北一东路49号;13482;2月参考均价;123.392351;41.816601;链家网沈阳站;沈阳小区;铁西小区;铁西区小区;新湖明珠城;2010年建成;板楼;1.9元/平米/月;沈阳新湖绿城物业服务有限公司;沈阳新湖房地产开发公司;27栋;2711户;https://sy.lianjia.com/xiaoqu/3111058063831/
210100;sy;沈阳;3111054277906;阳光新嘉园;(浑南浑南新区)白塔街28号;6581;2月参考均价;123.42782062842;41.701458667287;链家网沈阳站;沈阳小区;浑南小区;浑南新区小区;阳光新嘉园;2003年建成;板楼;0.5元/平米/月;暂无信息;暂无信息;32栋;2107户;https://sy.lianjia.com/xiaoqu/3111054277906/
210100;sy;沈阳;3111054430232;宜春社区;(和平和平区)太原南街193号;13513;2月参考均价;123.395652;41.785796;链家网沈阳站;沈阳小区;和平小区;和平区小区;宜春社区;1995年建成;板楼;0.3至3元/平米/月;无物业公司;暂无信息;26栋;3173户;https://sy.lianjia.com/xiaoqu/3111054430232/
210100;sy;沈阳;3116453176143117;金地滨河国际·悦城;(浑南浑南新区)浑南东路18号;12070;2月参考均价;123.525945;41.755476;链家网沈阳站;沈阳小区;浑南小区;浑南新区小区;金地滨河国际·悦城;2010年建成;板楼/塔板结合;1.8元/平米/月;深圳金地物业管理有限公司;金地集团(沈阳)房地产置业有限公司;8栋;1912户;https://sy.lianjia.com/xiaoqu/3116453176143117/
210100;sy;沈阳;3111058356603;阳光尚城4.1期;(于洪于洪区)青山路40号;8448;2月参考均价;123.401343;41.870394;链家网沈阳站;沈阳小区;于洪小区;于洪区小区;阳光尚城4.1期;2012年建成;板楼;1.7元/平米/月;沈阳阳光鑫地物业管理有限公司;恒盛阳光鑫地（辽宁）置业有限公司;16栋;894户;https://sy.lianjia.com/xiaoqu/3111058356603/
210100;sy;沈阳;3113535337524861;世纪新城;(浑南浑南新区)沈营路17;7234;2月参考均价;123.451187;41.731233;链家网沈阳站;沈阳小区;浑南小区;浑南新区小区;世纪新城;2005年建成;板楼;0.5元/平米/月;沈阳尚盈物业服务有限公司;沈阳浑南置业发展有限公司;76栋;4160户;https://sy.lianjia.com/xiaoqu/3113535337524861/
210100;sy;沈阳;3113485701870533;亿丰南奥国际;(浑南浑南新区)金卡路6号;10562;2月参考均价;123.474992;41.742712;链家网沈阳站;沈阳小区;浑南小区;浑南新区小区;亿丰南奥国际;2009年建成;板楼/塔板结合;1.5至1.6元/平米/月;沈阳亿丰商业管理有限公司;沈阳亿丰置业发展有限公司;11栋;1519户;https://sy.lianjia.com/xiaoqu/3113485701870533/
