city_id;city_abbr;city_name;community_id;community_name;location;unit_price;price_date;longitude;latitude;hier1;hier2;hier3;hier4;hier5;age;structure;management_fee;management_co;developer;building_amount;house_amount;url
370600;yt;烟台;5211063033225;保利香榭里公馆;(莱山山海南路)港城东大街1286号;13544;2月参考均价;121.41649799731;37.471133080094;链家网烟台站;烟台小区;莱山小区;山海南路小区;保利香榭里公馆;2013年建成;板楼;1.5元/平米/月;烟台保利物业有限责任公司;保利山东置业有限公司;22栋;1869户;https://yt.lianjia.com/xiaoqu/5211063033225/
370600;yt;烟台;527579595976604;南山世纪华庭;(莱山大学城)港城东大街277号;11199;2月参考均价;121.483746;37.464591;链家网烟台站;烟台小区;莱山小区;大学城小区;南山世纪华庭;2009年建成;塔楼/板楼/塔板结合;1.5元/平米/月;南山物业;烟台南山置业发展有限公司;16栋;2385户;https://yt.lianjia.com/xiaoqu/527579595976604/
370600;yt;烟台;527669558554640;南山世纪华府;(莱山大学城)银海路566号;15588;2月参考均价;121.461225;37.473856;链家网烟台站;烟台小区;莱山小区;大学城小区;南山世纪华府;2007年建成;塔楼/板楼;1.5元/平米/月;南山物业;烟台南山置业发展有限公司;16栋;3041户;https://yt.lianjia.com/xiaoqu/527669558554640/
370600;yt;烟台;5211063183953;海洋花园;(莱山大学城)泉韵南路2号;14249;2月参考均价;121.46268406556;37.488975826057;链家网烟台站;烟台小区;莱山小区;大学城小区;海洋花园;2005年建成;塔楼/板楼/塔板结合;1.3元/平米/月;烟台东方水产置业牧业管理有限公司;烟台东方水产置业有限公司;5栋;414户;https://yt.lianjia.com/xiaoqu/5211063183953/
370600;yt;烟台;5212064803008747;万科城;(开发区万科城)开发区宁波路8号（张裕卡斯特酒庄东南侧约350米）;12874;2月参考均价;121.192063;37.579197;链家网烟台站;烟台小区;开发区小区;万科城小区;万科城;2016年建成;塔楼/板楼;2.15至2.3元/平米/月;北京万科物业服务有限公司烟台分公司;烟台万拓房地产开发有限公司;35栋;4916户;https://yt.lianjia.com/xiaoqu/5212064803008747/
370600;yt;烟台;5211063034954;万光府前花园;(莱山迎春大街)长宁路369号;12860;2月参考均价;121.44960264879;37.464396777897;链家网烟台站;烟台小区;莱山小区;迎春大街小区;万光府前花园;2008年建成;塔楼/板楼/塔板结合;1至1.3元/平米/月;万光物业;烟台万光城建综合开发有限公司;38栋;3558户;https://yt.lianjia.com/xiaoqu/5211063034954/
370600;yt;烟台;5211063039371;中海国际社区;(高新区科技大道)海越路11号;12273;2月参考均价;121.49195824491;37.44867384635;链家网烟台站;烟台小区;高新区小区;科技大道小区;中海国际社区;2016年建成;塔楼/板楼/塔板结合;2.2至3.5元/平米/月;中海物业管理有限公司烟台分公司;烟台中海地产有限公司;91栋;8859户;https://yt.lianjia.com/xiaoqu/5211063039371/
370600;yt;烟台;5211063030314;绿色家园;(莱山迎春大街)迎春大街313号;12402;2月参考均价;121.432928;37.456848;链家网烟台站;烟台小区;莱山小区;迎春大街小区;绿色家园;2002年建成;塔楼/板楼/塔板结合;1至1.3元/平米/月;烟台日樱物业管理有限公司;烟台日樱花园房地产开发有限公司;51栋;4190户;https://yt.lianjia.com/xiaoqu/5211063030314/
370600;yt;烟台;5211063043031;中海银海熙岸;(高新区东泊子)海天路中海银海熙岸, 海天路8号;13435;2月参考均价;121.51166110194;37.452039229543;链家网烟台站;烟台小区;高新区小区;东泊子小区;中海银海熙岸;2012年建成;板楼/塔板结合;2.5元/平米/月;中海物业管理有限公司烟台分公司;烟台中海地产有限公司;11栋;1348户;https://yt.lianjia.com/xiaoqu/5211063043031/
370600;yt;烟台;5211062484066;碧海云天;(开发区碧海云天商圈)黄河路78号;15031;2月参考均价;121.25542371574;37.575034983217;链家网烟台站;烟台小区;开发区小区;碧海云天商圈小区;碧海云天;2006年建成;板楼;0.9至1.3元/平米/月;烟台开发区科信物业管理有限公司;烟台科信房地产开发有限公司;47栋;1729户;https://yt.lianjia.com/xiaoqu/5211062484066/
